,key ,Inputs from Database,Calculated Final Values,Calculated Intermediate Values,,,,,,Range Given:,,,Chart/Scatter Plot --- normalized values on x axis,y axis values,,                       Normalized Data Best-fit Line Parameters:,Slope Beta ,Y-Intercept Alpha,                                                                                    Transaction Fees:,30%,"Note: if ""optimal rent"" is less than this value, use this value",,,,,"Use MS ""If"" statement ",,,0.77146,
W60,L11495,apartment,1,2600,0.973,30357.6,250,0.3699,69,406,337,181,0.5296735905,0.3699,100,,,,,,69,421.25,26.875,-166.688625,150.2014383,150.2014383,0.2927630582,0.6189073157,92.96076898,65.07253828
W61,L1734,apartment,2,2695,0.973,31466.82,443,0.2356,265,534,269,178,0.6293680297,0.2356,100,,,,,,265,336.25,231.375,-133.054125,185.632535,265,0.1,0.77146,204.4369,143.10583
W62,L1734,house,1,3000,0.973,35028,343,0.5808,158,706,548,185,0.3700729927,0.5808,100,,,,,,158,685,89.5,-271.0545,258.5865074,258.5865074,0.2468416167,0.6552495446,169.4386912,118.6070839
W63,L1734,house,2,4000,0.973,46704,739,0.0192,306,781,475,433,0.8292631579,0.0192,100,,,,,,306,593.75,246.625,-234.946875,277.0781521,306,0.1,0.77146,236.06676,165.246732
W64,L1734,apartment,1,2295,0.973,26796.42,270,0.4685,100,469,369,170,0.4685636856,0.4685,100,,,,,,100,461.25,53.875,-182.516625,172.1199735,172.1199735,0.2563576662,0.647718543,111.4852985,78.03970893
W65,L1735,apartment,2,3000,0.973,35028,424,0.3425,270,543,273,154,0.5512820513,0.3425,100,,,,,,270,341.25,235.875,-135.032625,188.7246535,270,0.1,0.77146,208.2942,145.80594
W66,L1735,house,1,3300,0.973,38530.8,980,0.2712,283,1261,978,697,0.6701431493,0.2712,100,,,,,,283,1222.5,160.75,-483.74325,461.811993,461.811993,0.2462674789,0.6557039172,302.8119328,211.968353
W37,L11419,apartment,1,3000,0.973,35028,337,0.463,87,512,425,250,0.5705882353,0.463,100,,,,,,87,531.25,33.875,-210.215625,189.4176033,189.4176033,0.2927860768,0.6188890988,117.2284898,82.05994287
W38,L11419,apartment,2,3200,0.973,37363.2,154,0.6795,154,480,326,0,0.1,0.6795,100,,,,,,154,407.5,113.25,-161.24775,172.6223641,172.6223641,0.1456990531,0.7352937694,126.9281488,88.84970416
W39,L11421,apartment,2,4500,0.973,52542,432,0.6822,273,853,580,159,0.3193103448,0.6822,100,,,,,,273,725,200.5,-286.8825,306.810229,306.810229,0.1466347986,0.7345532204,225.3684418,157.7579092
W4,L9531,apartment,1,800,0.973,9340.8,104,0.5699,53,188,135,51,0.4022222222,0.5699,100,,,,,,53,168.75,36.125,-66.774375,68.11107928,68.11107928,0.1895471365,0.7005923962,47.71810424,33.40267297
W40,L11421,house,1,4500,0.973,52542,200,0.8685,103,807,704,97,0.2102272727,0.8685,100,,,,,,103,880,15,-348.216,300.8898843,300.8898843,0.3248748685,0.5934940291,178.5763497,125.0034448
W41,L11421,house,2,5500,0.973,64218,428,0.5233,200,770,570,228,0.42,0.5233,100,,,,,,200,712.5,128.75,-281.93625,280.1339354,280.1339354,0.2124686813,0.6824522856,191.1780445,133.8246312
W42,L11421,apartment,1,3500,0.973,40866,576,0.4603,151,890,739,425,0.5600811908,0.4603,100,,,,,,151,923.75,58.625,-365.527875,329.2768384,329.2768384,0.2929925179,0.6187257213,203.7320494,142.6124346
W22,L4765,house,1,2700,0.973,31525.2,389,0.5123,202,629,427,187,0.4503512881,0.5123,100,,,,,,202,533.75,148.625,-211.204875,226.1938228,226.1938228,0.1453280053,0.7355874166,166.3853298,116.4697309
W23,L4765,house,2,3200,0.973,37363.2,325,0.8164,195,844,649,130,0.2602465331,0.8164,100,,,,,,195,811.25,113.875,-321.011625,308.7132393,308.7132393,0.2401704029,0.6605291432,203.9140915,142.739864
W24,L4765,apartment,1,1700,0.973,19849.2,239,0.6767,98,430,332,141,0.4397590361,0.6767,100,,,,,,98,415,56.5,-164.2155,157.3750737,157.3750737,0.2430724667,0.6582324499,103.5893803,72.5125662
W25,L4770,apartment,1,1600,0.973,18681.6,209,0.5397,94,411,317,115,0.3902208202,0.5397,100,,,,,,94,396.25,54.375,-156.796125,150.3986947,150.3986947,0.2423310908,0.6588191748,99.08554394,69.35988076
W26,L4770,apartment,2,2100,0.973,24519.6,265,0.4027,130,438,308,135,0.4506493506,0.4027,100,,,,,,130,385,91.5,-152.3445,158.2380954,158.2380954,0.1733457023,0.7134142112,112.889306,79.0225142
W27,L4770,house,1,1200,0.973,14011.2,435,0.4,162,504,342,273,0.7385964912,0.4,100,,,,,,162,427.5,119.25,-169.16175,181.2329544,181.2329544,0.1449893671,0.7358554149,133.3612509,93.35287561
W28,L4770,house,2,2100,0.973,24519.6,487,0.4301,175,755,580,312,0.5303448276,0.4301,100,,,,,,175,725,102.5,-286.8825,276.120845,276.120845,0.2394770275,0.6610778804,182.5373829,127.776168
W29,L4794,apartment,2,2500,0.973,29190,231,0.4027,129,431,302,102,0.3701986755,0.4027,100,,,,,,129,377.5,91.25,-149.37675,155.635438,155.635438,0.1705574516,0.7156208328,111.3759617,77.96317322
W43,L11427,apartment,2,4000,0.973,46704,560,0.3534,218,681,463,342,0.6909287257,0.3534,100,,,,,,218,578.75,160.125,-229.011375,244.941337,244.941337,0.1465509063,0.7346196128,179.9387101,125.9570971
W30,L4794,house,1,2500,0.973,29190,490,0.2301,186,578,392,304,0.7204081633,0.2301,100,,,,,,186,490,137,-193.893,207.8278921,207.8278921,0.1445467185,0.736205727,153.0040844,107.1028591
W44,L11427,apartment,1,3000,0.973,35028,288,0.4986,109,640,531,179,0.3696798493,0.4986,100,,,,,,109,663.75,42.625,-262.645875,236.7548975,236.7548975,0.2924744219,0.6191357425,146.5834193,102.6083935
W45,L11431,apartment,2,5600,0.973,65385.6,373,0.5151,196,612,416,177,0.4403846154,0.5151,100,,,,,,196,520,144,-205.764,220.1174635,220.1174635,0.1463797375,0.7347550757,161.7324236,113.2126965
W46,L11431,house,1,3200,0.973,37363.2,420,0.8712,165,1296,1131,255,0.2803713528,0.8712,100,,,,,,165,1413.75,23.625,-559.420875,483.2417299,483.2417299,0.3251046719,0.5933121626,286.7131959,200.6992371
W47,L11431,house,2,3500,0.973,40866,593,0.5068,268,1032,764,325,0.4403141361,0.5068,100,,,,,,268,955,172.5,-377.8935,375.4557902,375.4557902,0.212519152,0.6824123431,256.2156655,179.3509658
W48,L11431,apartment,1,3400,0.973,39698.4,436,0.2822,106,624,518,330,0.6096525097,0.2822,100,,,,,,106,647.5,41.25,-256.21575,230.8548424,230.8548424,0.2928260114,0.6188574946,142.8662494,100.0063746
W188,L1882,house,2,1900,0.973,22184.4,568,0.189,227,861,634,341,0.5302839117,0.189,100,,,,,,227,792.5,147.75,-313.59225,313.0105116,313.0105116,0.2085306141,0.685568872,214.5902634,150.2131844
W189,L1883,apartment,1,900,0.973,10508.4,318,0.2904,176,440,264,142,0.5303030303,0.2904,100,,,,,,176,330,143,-130.581,155.8536467,176,0.1,0.77146,135.77696,95.043872
W49,L11434,apartment,2,4200,0.973,49039.2,426,0.5425,210,654,444,216,0.4891891892,0.5425,100,,,,,,210,555,154.5,-219.6135,235.1859965,235.1859965,0.1453801739,0.7355461304,172.9901497,121.0931048
W190,L1883,apartment,2,1100,0.973,12843.6,538,0.5808,225,1033,808,313,0.4099009901,0.5808,100,,,,,,225,1010,124,-399.657,378.7797097,378.7797097,0.2522571383,0.6509637007,246.5718416,172.6002891
W5,L9532,apartment,2,1100,0.973,12843.6,142,0.0822,111,148,37,31,0.7702702703,0.0822,100,,,,,,111,46.25,106.375,-18.301125,48.87901067,111,0.1,0.77146,85.63206,59.942442
W50,L11434,house,1,3000,0.973,35028,621,0.3479,133,1040,907,488,0.530429989,0.3479,100,,,,,,133,1133.75,19.625,-448.624875,387.7460244,387.7460244,0.3246932961,0.5936377255,230.180668,161.1264676
W51,L11434,house,2,3900,0.973,45536.4,535,0.4767,231,888,657,304,0.4701674277,0.4767,100,,,,,,231,821.25,148.875,-324.968625,323.0395578,323.0395578,0.2120725209,0.6827658069,220.5603644,154.3922551
W212,L12260,house,2,1480,0.973,17280.48,249,0.4411,175,310,135,74,0.5385185185,0.4411,100,,,,,,175,168.75,158.125,-66.774375,106.3162308,175,0.1,0.77146,135.0055,94.50385
W213,L12264,apartment,1,650,0.973,7589.4,107,0.4795,80,156,76,27,0.3842105263,0.4795,100,,,,,,80,95,70.5,-37.5915,54.05289699,80,0.1,0.77146,61.7168,43.20176
W214,L12264,apartment,2,920,0.973,10741.92,147,0.4137,108,205,97,39,0.4216494845,0.4137,100,,,,,,108,121.25,95.875,-47.978625,70.83454388,108,0.1,0.77146,83.31768,58.322376
W215,L12264,house,1,880,0.973,10274.88,246,0.4438,145,333,188,101,0.529787234,0.4438,100,,,,,,145,235,121.5,-92.9895,117.1454418,145,0.1,0.77146,111.8617,78.30319
W216,L12264,house,2,1200,0.973,14011.2,169,0.6192,160,310,150,9,0.148,0.6192,100,,,,,,160,187.5,141.25,-74.19375,107.3426272,160,0.1,0.77146,123.4336,86.40352
W217,L16888,apartment,1,1000,0.973,11676,174,0.5479,95,280,185,79,0.4416216216,0.5479,100,,,,,,95,231.25,71.875,-91.505625,100.3428426,100.3428426,0.1231041841,0.7531753487,75.57575544,52.90302881
W233,L14416,apartment,1,1165,0.973,13602.54,180,0.3425,135,220,85,45,0.5235294118,0.3425,100,,,,,,135,106.25,124.375,-42.043125,74.71078151,135,0.1,0.77146,104.1471,72.90297
W52,L11434,apartment,1,3600,0.973,42033.6,196,0.7781,137,808,671,59,0.170342772,0.7781,100,,,,,,137,838.75,53.125,-331.893375,298.9449693,298.9449693,0.29307895,0.6186573189,184.9444932,129.4611453
W234,L14416,apartment,2,1625,0.973,18973.5,260,0.6,220,312,92,40,0.447826087,0.6,100,,,,,,220,115,208.5,-45.5055,104.0002086,220,0.1,0.77146,169.7212,118.80484
W53,L11480,apartment,2,3500,0.973,40866,294,0.3973,155,483,328,139,0.4390243902,0.3973,100,,,,,,155,410,114,-162.237,173.6986879,173.6986879,0.1456065559,0.7353669717,127.7322781,89.41259468
W54,L11480,house,1,2500,0.973,29190,471,0.6,111,868,757,360,0.4804491413,0.6,100,,,,,,111,946.25,16.375,-374.431125,323.6190605,323.6190605,0.3246964972,0.5936351921,192.1116631,134.4781642
W6,L9532,house,1,900,0.973,10508.4,141,0.5479,116,296,180,25,0.2111111111,0.5479,100,,,,,,116,225,93.5,-89.0325,105.0112221,116,0.1,0.77146,89.48936,62.642552
W67,L1735,house,2,4500,0.973,52542,994,0.4301,530,1354,824,464,0.5504854369,0.4301,100,,,,,,530,1030,427,-407.571,480.3979231,530,0.1,0.77146,408.8738,286.21166
W68,L1735,apartment,1,2700,0.973,31525.2,284,0.6055,103,483,380,181,0.4810526316,0.6055,100,,,,,,103,475,55.5,-187.9575,177.2568619,177.2568619,0.2563302356,0.6477402516,114.8164043,80.37148302
W69,L1736,apartment,1,2700,0.973,31525.2,236,0.5671,110,515,405,126,0.3488888889,0.5671,100,,,,,,110,506.25,59.375,-200.323125,188.9885458,188.9885458,0.2560267572,0.6479804244,122.4608781,85.72261468
W7,L9532,house,2,1100,0.973,12843.6,188,0.6192,136,335,199,52,0.3090452261,0.6192,100,,,,,,136,248.75,111.125,-98.430375,118.5244464,136,0.1,0.77146,104.91856,73.442992
W70,L1736,apartment,2,3000,0.973,35028,329,0.7041,270,544,274,59,0.2722627737,0.7041,100,,,,,,270,342.5,235.75,-135.52725,189.1062369,270,0.1,0.77146,208.2942,145.80594
W71,L1736,house,1,4500,0.973,52542,549,0.4438,231,1027,796,318,0.4195979899,0.4438,100,,,,,,231,995,131.5,-393.7215,376.0796508,376.0796508,0.2458086942,0.6560669994,246.733448,172.7134136
W72,L1736,house,2,4900,0.973,57212.4,652,0.4466,379,969,590,273,0.4701694915,0.4466,100,,,,,,379,737.5,305.25,-291.82875,343.8207029,379,0.1,0.77146,292.38334,204.668338
W73,L1737,apartment,2,3300,0.973,38530.8,378,0.4219,264,532,268,114,0.4402985075,0.4219,100,,,,,,264,335,230.5,-132.5595,184.9377946,264,0.1,0.77146,203.66544,142.565808
W74,L1737,house,1,4500,0.973,52542,255,0.5918,151,673,522,104,0.2593869732,0.5918,100,,,,,,151,652.5,85.75,-258.19425,246.4732401,246.4732401,0.2463191419,0.6556630311,161.6033917,113.1223742
W75,L1737,house,2,4200,0.973,49039.2,441,0.5726,278,711,433,163,0.4011547344,0.5726,100,,,,,,278,541.25,223.875,-214.172625,252.2832537,278,0.1,0.77146,214.46588,150.126116
W76,L1737,apartment,1,2500,0.973,29190,356,0.4247,98,460,362,258,0.6701657459,0.4247,100,,,,,,98,452.5,52.75,-179.05425,168.8225757,168.8225757,0.2565139795,0.6475948366,109.3286284,76.53003985
W77,L1738,apartment,1,2500,0.973,29190,437,0.0795,108,507,399,329,0.7596491228,0.0795,100,,,,,,108,498.75,58.125,-197.355375,186.0727314,186.0727314,0.2565368049,0.6475767726,120.4963789,84.34746523
W78,L1738,apartment,2,3300,0.973,38530.8,461,0.3178,270,543,273,191,0.6597069597,0.3178,100,,,,,,270,341.25,235.875,-135.032625,188.7246535,270,0.1,0.77146,208.2942,145.80594
W79,L1738,house,1,4500,0.973,52542,669,0.3123,186,829,643,483,0.700933126,0.3123,100,,,,,,186,803.75,105.625,-318.043875,303.6053261,303.6053261,0.246320779,0.6556617355,199.062395,139.3436765
W8,L9532,apartment,1,500,0.973,5838,121,0.3973,50,174,124,71,0.5580645161,0.3973,100,,,,,,50,155,34.5,-61.3335,62.97419091,62.97419091,0.1837044575,0.7052162923,44.41042543,31.0872978
W80,L1738,house,2,4200,0.973,49039.2,437,0.611,319,815,496,118,0.2903225806,0.611,100,,,,,,319,620,257,-245.334,289.1624443,319,0.1,0.77146,246.09574,172.267018
W81,L1940,apartment,2,3600,0.973,42033.6,663,0.2329,332,805,473,331,0.6598308668,0.2329,100,,,,,,332,591.25,272.875,-233.957625,284.4570667,332,0.1,0.77146,256.12472,179.287304
W82,L1940,house,1,4000,0.973,46704,337,0.5068,179,629,450,158,0.3808888889,0.5068,100,,,,,,179,562.5,122.75,-222.58125,227.7676305,227.7676305,0.1866980099,0.702847195,160.0858402,112.0600882
W83,L1940,house,2,5500,0.973,64218,447,0.6164,227,813,586,220,0.4003412969,0.6164,100,,,,,,227,732.5,153.75,-289.85025,294.6945083,294.6945083,0.192415711,0.6983222063,205.7917192,144.0542035
W84,L1940,apartment,1,3000,0.973,35028,610,0.1014,115,650,535,495,0.8401869159,0.1014,100,,,,,,115,668.75,48.125,-264.624375,240.160173,240.160173,0.2871553989,0.6233452173,149.7026952,104.7918867
W85,L1941,apartment,2,4000,0.973,46704,302,0.3151,220,534,314,82,0.3089171975,0.3151,100,,,,,,220,392.5,180.75,-155.31225,188.711724,220,0.1,0.77146,169.7212,118.80484
W86,L1941,house,1,4000,0.973,46704,213,0.6521,128,450,322,85,0.3111801242,0.6521,100,,,,,,128,402.5,87.75,-159.26925,162.953949,162.953949,0.1868421094,0.7027331546,114.5131427,80.15919987
W87,L1941,house,2,5000,0.973,58380,364,0.5123,152,546,394,212,0.5304568528,0.5123,100,,,,,,152,492.5,102.75,-194.88225,197.9437215,197.9437215,0.1932867443,0.6976328706,138.0920467,96.66443267
W88,L1941,apartment,1,3200,0.973,37363.2,251,0.6274,94,528,434,157,0.3894009217,0.6274,100,,,,,,94,542.5,39.75,-214.66725,195.0439528,195.0439528,0.2862561342,0.6240568954,121.7185237,85.20296656
W89,L1942,apartment,2,3500,0.973,40866,343,0.3973,194,471,277,149,0.5303249097,0.3973,100,,,,,,194,346.25,159.375,-137.011125,166.4510566,194,0.1,0.77146,149.66324,104.764268
W9,L9533,apartment,1,965,0.973,11267.34,125,0.3753,50,174,124,75,0.5838709677,0.3753,100,,,,,,50,155,34.5,-61.3335,62.97419091,62.97419091,0.1837044575,0.7052162923,44.41042543,31.0872978
W90,L1942,house,1,3200,0.973,37363.2,251,0.3342,138,485,347,113,0.360518732,0.3342,100,,,,,,138,433.75,94.625,-171.634875,175.6251039,175.6251039,0.1867437554,0.702810992,123.4312535,86.40187744
W91,L1942,house,2,3500,0.973,40866,404,0.3616,152,547,395,252,0.6103797468,0.3616,100,,,,,,152,493.75,102.625,-195.376875,198.3253049,198.3253049,0.1938234024,0.6972081593,138.2740208,96.79181457
W92,L1942,apartment,1,3000,0.973,35028,161,0.2658,77,432,355,84,0.2892957746,0.2658,100,,,,,,77,443.75,32.625,-175.591875,159.5751953,159.5751953,0.2860849473,0.6241923727,99.60561981,69.72393387
W93,L1943,apartment,1,2600,0.973,30357.6,408,0.3863,100,565,465,308,0.6298924731,0.3863,100,,,,,,100,581.25,41.875,-230.000625,208.7519802,208.7519802,0.2871001809,0.6233889168,130.1336708,91.09356956
W94,L1943,apartment,2,4000,0.973,46704,284,0.3151,204,494,290,80,0.3206896552,0.3151,100,,,,,,204,362.5,167.75,-143.44125,174.5432106,204,0.1,0.77146,157.37784,110.164488
W95,L1943,house,1,4000,0.973,46704,443,0.5562,257,903,646,186,0.3303405573,0.5562,100,,,,,,257,807.5,176.25,-319.52775,326.9842219,326.9842219,0.186667767,0.7028711292,229.8277693,160.8794385
W96,L1943,house,2,5100,0.973,59547.6,718,0.4493,256,916,660,462,0.66,0.4493,100,,,,,,256,825,173.5,-326.4525,332.0132325,332.0132325,0.1921372516,0.6985425791,231.9253798,162.3477658
W97,L1944,apartment,2,5600,0.973,65385.6,478,0.3178,265,644,379,213,0.5496042216,0.3178,100,,,,,,265,473.75,217.625,-187.462875,227.6067092,265,0.1,0.77146,204.4369,143.10583
W98,L1944,house,1,5000,0.973,58380,533,0.5123,236,829,593,297,0.5006745363,0.5123,100,,,,,,236,741.25,161.875,-293.312625,300.184005,300.184005,0.1865888768,0.7029335629,211.0094121,147.7065885
W99,L1944,house,2,6000,0.973,70056,566,0.3699,244,872,628,322,0.5101910828,0.3699,100,,,,,,244,785,165.5,-310.6245,316.0446799,316.0446799,0.1917766623,0.6988279495,220.8608556,154.6025989